,Rainfall,Day,Month,Year
329,0.0,26,11,1981
330,0.0,27,11,1981
331,0.0,28,11,1981
332,0.0,29,11,1981
333,0.0,30,11,1981
334,0.0,1,12,1981
335,0.0,2,12,1981
336,0.0,3,12,1981
337,0.0,4,12,1981
338,0.0,5,12,1981
339,0.0,6,12,1981
340,0.0,7,12,1981
341,0.0,8,12,1981
342,0.0,9,12,1981
343,0.0,10,12,1981
344,0.0,11,12,1981
345,0.0,12,12,1981
346,0.0,13,12,1981
347,8.754,14,12,1981
348,0.0,15,12,1981
349,0.0,16,12,1981
350,0.0,17,12,1981
351,0.0,18,12,1981
352,19.619,19,12,1981
353,0.0,20,12,1981
354,0.0,21,12,1981
355,0.0,22,12,1981
356,0.0,23,12,1981
357,0.0,24,12,1981
358,0.0,25,12,1981
359,0.0,26,12,1981
360,0.0,27,12,1981
361,0.0,28,12,1981
362,0.0,29,12,1981
363,0.0,30,12,1981
364,0.0,31,12,1981
365,0.0,1,1,1982
366,0.0,2,1,1982
367,0.0,3,1,1982
368,0.0,4,1,1982
369,0.0,5,1,1982
370,0.0,6,1,1982
371,0.0,7,1,1982
372,0.0,8,1,1982
373,0.0,9,1,1982
374,0.0,10,1,1982
375,0.0,11,1,1982
376,0.0,12,1,1982
377,0.0,13,1,1982
378,0.0,14,1,1982
379,19.038,15,1,1982
380,0.0,16,1,1982
381,0.0,17,1,1982
382,0.0,18,1,1982
383,0.0,19,1,1982
384,0.0,20,1,1982
385,0.0,21,1,1982
386,0.0,22,1,1982
387,0.0,23,1,1982
388,0.0,24,1,1982
389,0.0,25,1,1982
390,0.0,26,1,1982
391,0.0,27,1,1982
392,0.0,28,1,1982
393,0.0,29,1,1982
394,0.0,30,1,1982
395,0.0,31,1,1982
396,0.0,1,2,1982
397,0.0,2,2,1982
398,0.0,3,2,1982
399,4.167,4,2,1982
400,0.0,5,2,1982
401,0.0,6,2,1982
402,7.568,7,2,1982
403,0.0,8,2,1982
404,0.0,9,2,1982
405,0.0,10,2,1982
406,0.0,11,2,1982
407,0.0,12,2,1982
408,0.0,13,2,1982
409,8.393,14,2,1982
410,6.379,15,2,1982
411,10.427,16,2,1982
412,0.0,17,2,1982
413,0.0,18,2,1982
414,0.0,19,2,1982
415,0.0,20,2,1982
416,0.0,21,2,1982
417,0.0,22,2,1982
418,0.0,23,2,1982
419,0.0,24,2,1982
420,0.0,25,2,1982
421,0.0,26,2,1982
422,0.0,27,2,1982
423,0.0,28,2,1982
424,0.0,1,3,1982
425,0.0,2,3,1982
426,0.0,3,3,1982
427,0.0,4,3,1982
428,0.0,5,3,1982
429,0.0,6,3,1982
430,9.778,7,3,1982
431,0.0,8,3,1982
432,0.0,9,3,1982
433,0.0,10,3,1982
434,0.0,11,3,1982
435,0.0,12,3,1982
436,0.0,13,3,1982
437,0.0,14,3,1982
438,0.0,15,3,1982
439,0.0,16,3,1982
440,0.0,17,3,1982
441,0.0,18,3,1982
442,0.0,19,3,1982
443,0.0,20,3,1982
444,0.0,21,3,1982
445,0.0,22,3,1982
446,0.0,23,3,1982
447,0.0,24,3,1982
448,0.0,25,3,1982
449,0.0,26,3,1982
450,0.0,27,3,1982
451,0.0,28,3,1982
452,0.0,29,3,1982
453,28.895,30,3,1982
454,26.763,31,3,1982
455,12.253,1,4,1982
456,3.653,2,4,1982
457,0.0,3,4,1982
458,0.0,4,4,1982
459,0.0,5,4,1982
460,0.0,6,4,1982
461,4.046,7,4,1982
462,0.0,8,4,1982
463,0.0,9,4,1982
464,0.0,10,4,1982
465,0.0,11,4,1982
466,0.0,12,4,1982
467,9.187,13,4,1982
468,10.9,14,4,1982
469,18.226,15,4,1982
470,0.0,16,4,1982
471,0.0,17,4,1982
472,7.837,18,4,1982
473,21.23,19,4,1982
474,0.0,20,4,1982
475,10.379,21,4,1982
476,0.0,22,4,1982
477,0.0,23,4,1982
478,0.0,24,4,1982
479,9.082,25,4,1982
480,62.096,26,4,1982
481,31.048,27,4,1982
482,31.048,28,4,1982
483,0.0,29,4,1982
484,0.0,30,4,1982
485,0.0,1,5,1982
486,0.0,2,5,1982
487,0.0,3,5,1982
488,0.0,4,5,1982
489,0.0,5,5,1982
490,0.0,6,5,1982
491,0.0,7,5,1982
492,0.0,8,5,1982
493,0.0,9,5,1982
494,0.0,10,5,1982
495,0.0,11,5,1982
496,24.409,12,5,1982
497,0.0,13,5,1982
498,19.862,14,5,1982
499,21.119,15,5,1982
500,0.0,16,5,1982
501,0.0,17,5,1982
502,29.086,18,5,1982
503,33.241,19,5,1982
504,0.0,20,5,1982
505,0.0,21,5,1982
506,0.0,22,5,1982
507,9.597,23,5,1982
508,11.75,24,5,1982
509,3.322,25,5,1982
510,12.73,26,5,1982
511,13.189,27,5,1982
512,12.235,28,5,1982
513,7.178,29,5,1982
514,0.0,30,5,1982
515,0.0,31,5,1982
516,0.0,1,6,1982
517,0.0,2,6,1982
518,0.0,3,6,1982
519,0.0,4,6,1982
520,0.0,5,6,1982
521,0.0,6,6,1982
522,0.0,7,6,1982
523,0.0,8,6,1982
524,0.0,9,6,1982
525,0.0,10,6,1982
526,0.0,11,6,1982
527,0.0,12,6,1982
528,0.0,13,6,1982
529,3.734,14,6,1982
530,5.866,15,6,1982
531,0.0,16,6,1982
532,9.46,17,6,1982
533,0.0,18,6,1982
534,0.0,19,6,1982
535,0.0,20,6,1982
536,0.0,21,6,1982
537,0.0,22,6,1982
538,10.595,23,6,1982
539,0.0,24,6,1982
540,0.0,25,6,1982
541,0.0,26,6,1982
542,11.744,27,6,1982
543,0.0,28,6,1982
544,0.0,29,6,1982
545,0.0,30,6,1982
546,0.0,1,7,1982
547,0.0,2,7,1982
548,7.161,3,7,1982
549,6.552,4,7,1982
550,0.0,5,7,1982
551,0.0,6,7,1982
552,0.0,7,7,1982
553,0.0,8,7,1982
554,0.0,9,7,1982
555,0.0,10,7,1982
556,0.0,11,7,1982
557,0.0,12,7,1982
558,0.0,13,7,1982
559,0.0,14,7,1982
560,0.0,15,7,1982
561,0.0,16,7,1982
562,0.0,17,7,1982
563,0.0,18,7,1982
564,0.0,19,7,1982
565,0.0,20,7,1982
566,0.0,21,7,1982
567,7.143,22,7,1982
568,14.917,23,7,1982
569,4.442,24,7,1982
570,0.0,25,7,1982
571,6.856,26,7,1982
572,0.0,27,7,1982
573,0.0,28,7,1982
574,0.0,29,7,1982
575,0.0,30,7,1982
576,22.969,31,7,1982
577,6.366,1,8,1982
578,10.874,2,8,1982
579,4.648,3,8,1982
580,0.0,4,8,1982
581,0.0,5,8,1982
582,0.0,6,8,1982
583,0.0,7,8,1982
584,0.0,8,8,1982
585,8.285,9,8,1982
586,13.836,10,8,1982
587,0.0,11,8,1982
588,0.0,12,8,1982
589,0.0,13,8,1982
590,0.0,14,8,1982
591,33.63,15,8,1982
592,33.531,16,8,1982
593,0.0,17,8,1982
594,0.0,18,8,1982
595,0.0,19,8,1982
596,0.0,20,8,1982
597,0.0,21,8,1982
598,0.0,22,8,1982
599,0.0,23,8,1982
600,0.0,24,8,1982
601,0.0,25,8,1982
602,0.0,26,8,1982
603,0.0,27,8,1982
604,0.0,28,8,1982
605,0.0,29,8,1982
606,0.0,30,8,1982
607,0.0,31,8,1982
608,0.0,1,9,1982
609,0.0,2,9,1982
610,0.0,3,9,1982
611,0.0,4,9,1982
612,0.0,5,9,1982
613,0.0,6,9,1982
614,0.0,7,9,1982
615,0.0,8,9,1982
616,0.0,9,9,1982
617,0.0,10,9,1982
618,0.0,11,9,1982
619,0.0,12,9,1982
620,0.0,13,9,1982
621,12.345,14,9,1982
622,0.0,15,9,1982
623,0.0,16,9,1982
624,0.0,17,9,1982
625,0.0,18,9,1982
626,11.906,19,9,1982
627,0.0,20,9,1982
628,0.0,21,9,1982
629,19.64,22,9,1982
630,0.0,23,9,1982
631,0.0,24,9,1982
632,0.0,25,9,1982
633,0.0,26,9,1982
634,0.0,27,9,1982
635,0.0,28,9,1982
636,0.0,29,9,1982
637,11.025,30,9,1982
638,0.0,1,10,1982
639,0.0,2,10,1982
640,0.0,3,10,1982
641,0.0,4,10,1982
642,0.0,5,10,1982
643,0.0,6,10,1982
644,0.0,7,10,1982
645,0.0,8,10,1982
646,0.0,9,10,1982
647,0.0,10,10,1982
648,0.0,11,10,1982
649,0.0,12,10,1982
650,39.067,13,10,1982
651,0.0,14,10,1982
652,0.0,15,10,1982
653,0.0,16,10,1982
654,0.0,17,10,1982
655,0.0,18,10,1982
656,45.433,19,10,1982
657,0.0,20,10,1982
658,58.104,21,10,1982
659,0.0,22,10,1982
660,0.0,23,10,1982
661,0.0,24,10,1982
662,0.0,25,10,1982
663,0.0,26,10,1982
664,0.0,27,10,1982
665,0.0,28,10,1982
666,0.0,29,10,1982
667,0.0,30,10,1982
668,0.0,31,10,1982
669,0.0,1,11,1982
670,0.0,2,11,1982
671,0.0,3,11,1982
672,0.0,4,11,1982
673,38.744,5,11,1982
674,26.574,6,11,1982
675,26.574,7,11,1982
676,53.148,8,11,1982
677,0.0,9,11,1982
678,0.0,10,11,1982
679,0.0,11,11,1982
680,0.0,12,11,1982
681,0.0,13,11,1982
682,0.0,14,11,1982
683,0.0,15,11,1982
684,0.0,16,11,1982
685,0.0,17,11,1982
686,0.0,18,11,1982
687,0.0,19,11,1982
688,0.0,20,11,1982
689,0.0,21,11,1982
690,0.0,22,11,1982
691,0.0,23,11,1982
692,0.0,24,11,1982
693,0.0,25,11,1982
694,16.958,26,11,1982
695,33.917,27,11,1982
696,33.917,28,11,1982
697,16.958,29,11,1982
698,0.0,30,11,1982
699,0.0,1,12,1982
700,0.0,2,12,1982
701,0.0,3,12,1982
702,0.0,4,12,1982
703,0.0,5,12,1982
704,0.0,6,12,1982
705,0.0,7,12,1982
706,0.0,8,12,1982
707,0.0,9,12,1982
708,0.0,10,12,1982
709,0.0,11,12,1982
710,76.144,12,12,1982
711,0.0,13,12,1982
712,0.0,14,12,1982
713,0.0,15,12,1982
714,0.0,16,12,1982
715,0.0,17,12,1982
716,0.0,18,12,1982
717,0.0,19,12,1982
718,0.0,20,12,1982
719,0.0,21,12,1982
720,0.0,22,12,1982
721,0.0,23,12,1982
722,0.0,24,12,1982
